"p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","simnumber","nsim","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
10,10,"ar1","ar1",0.2,0.2,0.1,9,NA,0.994623655913978,77.0611807228397,77.1427198105527,0.581395348837209,0.0776699029126213,1,77.210352693824,0.711577894391888
10,10,"ar1","ar1",0.2,0.5,0.1,144,NA,0.983870967741935,40.1805934388442,40.2896738838859,0.674418604651163,0.504854368932039,1,40.4548498825512,0.696652628659855
10,10,"ar1","ar1",0.2,0.8,0.1,189,NA,1,79.8502594889945,80.0250027665224,0.511627906976744,0.12621359223301,1,80.010124700104,0.619627127732552
10,10,"ar1","ar1",0.5,0.2,0.1,90,NA,1,101.325871594893,101.456972480043,0.534883720930233,0.252427184466019,1,102.026928722129,0.519372236083616
10,10,"ar1","ar1",0.5,0.5,0.1,171,NA,1,31.9089806391891,31.9554400652401,0.697674418604651,0.533980582524272,1,32.0684030452041,0.661806030958756
10,10,"ar1","ar1",0.5,0.8,0.1,216,NA,1,62.3909304008851,62.6685815549274,0.674418604651163,0.456310679611651,1,62.7512556372671,0.635614128139318
10,10,"ar1","ar1",0.8,0.2,0.1,117,NA,1,106.406208938937,106.312345467846,0.674418604651163,0.203883495145631,1,106.678192632165,0.640410900937403
10,10,"ar1","ar1",0.8,0.5,0.1,180,NA,1,82.064274111034,82.0335079741211,0.534883720930233,0.116504854368932,0.994623655913978,82.3608509673537,0.607558072486374
10,10,"ar1","ar1",0.8,0.8,0.1,225,NA,0.838709677419355,7.16498855711816,7.16938406298919,0.511627906976744,0.271844660194175,1,7.18688427853516,0.899049761306935
10,10,"ar1","random",0.2,NA,0.1,36,NA,0.994623655913978,64.8485837525832,64.7855494944514,0.534883720930233,0.262135922330097,1,65.0257048056316,0.505073723762883
10,10,"ar1","random",0.5,NA,0.1,99,NA,1,52.5089536004054,52.4863388853832,0.813953488372093,0.466019417475728,1,52.9362050641079,0.604823166585806
10,10,"ar1","random",0.8,NA,0.1,126,NA,1,70.184496237093,69.907681806954,0.767441860465116,0.514563106796116,1,70.1652918495146,0.642331514961228
10,10,"ar1","randomwalk",0.2,NA,0.1,63,NA,1,5.35980931962181,5.34655881868398,0.581395348837209,0.223300970873786,1,5.38982069868216,0.87329583815248
10,10,"ar1","randomwalk",0.5,NA,0.1,108,NA,1,79.9085608233382,79.8147763722621,0.488372093023256,0.242718446601942,1,80.0266458403764,0.675954622190546
10,10,"ar1","randomwalk",0.8,NA,0.1,135,NA,1,112.454564582134,111.676299029103,0.581395348837209,0.281553398058252,1,111.797610975535,0.460021691589265
10,10,"random","ar1",NA,0.2,0.1,18,NA,1,50.4945193406475,50.5973277542255,0.697674418604651,0.504854368932039,1,50.8197047845166,0.669282281262421
10,10,"random","ar1",NA,0.5,0.1,153,NA,0.913978494623656,75.1774947313608,74.7556306193634,0.581395348837209,0.262135922330097,1,74.9496151005635,0.644651662735315
10,10,"random","ar1",NA,0.8,0.1,198,NA,0.93010752688172,54.9423676334864,54.9652670404212,0.534883720930233,0.213592233009709,1,55.3665226437686,0.669612976685779
10,10,"random","random",NA,NA,0.1,45,NA,1,41.7668551303306,41.68974161947,0.651162790697674,0.203883495145631,1,41.9129772314616,0.463587727097523
10,10,"random","randomwalk",NA,NA,0.1,72,NA,0.935483870967742,69.337461745626,69.2596825173295,0.674418604651163,0.456310679611651,1,69.5498703545863,0.615259879778519
10,10,"randomwalk","ar1",NA,0.2,0.1,27,NA,1,70.3662616769614,70.2185740590764,0.511627906976744,0.106796116504854,1,70.3185855506344,0.661163947302274
10,10,"randomwalk","ar1",NA,0.5,0.1,162,NA,0.60752688172043,6.20362616310072,6.19722783519217,0.558139534883721,0.281553398058252,1,6.21571236782003,0.446378305316705
10,10,"randomwalk","ar1",NA,0.8,0.1,207,NA,0.903225806451613,114.266687778325,114.553234501662,0.581395348837209,0.514563106796116,1,114.909462284212,0.52584615704575
10,10,"randomwalk","random",NA,NA,0.1,54,NA,0.731182795698925,6.20460203350701,6.18011870875223,0.627906976744186,0.436893203883495,1,6.20714886408744,0.577541147223754
10,10,"randomwalk","randomwalk",NA,NA,0.1,81,NA,0.946236559139785,75.2700907962254,75.2316311621353,0.604651162790698,0.213592233009709,1,75.2760492553984,0.750341943193151
10,3,"ar1","ar1",0.2,0.2,0.1,3,NA,0.946236559139785,98.7802265959749,99.2843245380771,0.581395348837209,0.242718446601942,1,100.944921991155,0.861359106918471
10,3,"ar1","ar1",0.2,0.5,0.1,138,NA,0.973118279569892,96.067805374998,96.3056828255339,0.674418604651163,0.504854368932039,1,97.0513319280682,0.592672887519194
10,3,"ar1","ar1",0.2,0.8,0.1,183,NA,1,106.971753972462,106.769063688877,0.488372093023256,0.281553398058252,1,107.052405156264,0.666922739071762
10,3,"ar1","ar1",0.5,0.2,0.1,84,NA,1,52.0182550256594,51.8844669878379,0.720930232558139,0.514563106796116,1,52.3024790823148,0.57865130623376
10,3,"ar1","ar1",0.5,0.5,0.1,165,NA,1,39.947295917862,39.7695349782673,0.488372093023256,0.184466019417476,1,39.9556101049233,0.614358964936346
10,3,"ar1","ar1",0.5,0.8,0.1,210,NA,0.919354838709677,94.1790189709269,94.2495698172861,0.674418604651163,0.29126213592233,1,94.6469411098602,0.657489773042428
10,3,"ar1","ar1",0.8,0.2,0.1,111,NA,1,11.5675585755731,11.525804584587,0.674418604651163,0.543689320388349,1,11.6001940841184,0.606090860341891
10,3,"ar1","ar1",0.8,0.5,0.1,174,NA,1,41.8861023157826,41.8033898673012,0.627906976744186,0.310679611650485,1,41.8780196431501,0.708869763537702
10,3,"ar1","ar1",0.8,0.8,0.1,219,NA,0.801075268817204,68.1899807388939,67.9210460482684,0.534883720930233,0.29126213592233,1,68.150111225692,0.69951096817512
10,3,"ar1","random",0.2,NA,0.1,30,NA,0.978494623655914,67.4789052948564,67.9762397762007,0.627906976744186,0.524271844660194,1,68.6296391124013,0.644167544348805
10,3,"ar1","random",0.5,NA,0.1,93,NA,1,92.132913277723,92.2593433435092,0.627906976744186,0.543689320388349,0.994623655913978,92.8951329091534,0.562774482711199
10,3,"ar1","random",0.8,NA,0.1,120,NA,0.758064516129032,69.3098408138446,68.967180642854,0.651162790697674,0.485436893203884,1,69.4708008714339,0.442217147939424
10,3,"ar1","randomwalk",0.2,NA,0.1,57,NA,1,80.1190179958311,80.1745413462245,0.534883720930233,0.106796116504854,1,80.4169047435385,0.785569291888478
10,3,"ar1","randomwalk",0.5,NA,0.1,102,NA,1,86.3763614080201,86.6729237641158,0.488372093023256,0.271844660194175,1,86.7863991757255,0.601087510871512
10,3,"ar1","randomwalk",0.8,NA,0.1,129,NA,1,57.8982153398031,57.7620809483139,0.558139534883721,0.213592233009709,1,58.0202264610735,0.739130461011358
10,3,"random","ar1",NA,0.2,0.1,12,NA,0.994623655913978,53.9042335697885,53.8473690441606,0.604651162790698,0.436893203883495,1,54.4730281133142,0.690854533909598
10,3,"random","ar1",NA,0.5,0.1,147,NA,1,45.7987249442187,46.0434547508668,0.697674418604651,0.650485436893204,0.973118279569892,46.3682765135097,0.640745234254992
10,3,"random","ar1",NA,0.8,0.1,192,NA,0.994623655913978,108.994182339616,108.240681161126,0.674418604651163,0.281553398058252,1,108.547224277619,0.63041300520871
10,3,"random","random",NA,NA,0.1,39,NA,1,71.4736743387153,71.3708820059694,0.720930232558139,0.553398058252427,1,72.2985471243412,0.569452834924345
10,3,"random","randomwalk",NA,NA,0.1,66,NA,1,29.7938184208493,29.8755893787529,0.441860465116279,0.0485436893203883,1,29.9445141838258,0.614359166787081
10,3,"randomwalk","ar1",NA,0.2,0.1,21,NA,1,57.8008451159456,57.797100044546,0.511627906976744,0.0970873786407767,1,58.0405919549055,0.603163550820081
10,3,"randomwalk","ar1",NA,0.5,0.1,156,NA,0.994623655913978,18.353344306542,18.4351945876955,0.604651162790698,0.543689320388349,1,18.4916376800293,0.652301436009054
10,3,"randomwalk","ar1",NA,0.8,0.1,201,NA,1,24.5076403492285,24.3943309762764,0.651162790697674,0.485436893203884,1,24.4985118476667,0.786658802251213
10,3,"randomwalk","random",NA,NA,0.1,48,NA,0.865591397849462,6.91269392986221,6.91415598650727,0.511627906976744,0.368932038834952,1,6.9931282712392,0.682068775205975
10,3,"randomwalk","randomwalk",NA,NA,0.1,75,NA,0.994623655913978,30.0120615226515,29.8857035598332,0.534883720930233,0.252427184466019,1,29.9232002965308,0.500767347823873
10,5,"ar1","ar1",0.2,0.2,0.1,6,NA,0.93010752688172,1.2718263962869,1.26557803395918,0.697674418604651,0.514563106796116,1,1.27002900624939,0.745393210416865
10,5,"ar1","ar1",0.2,0.5,0.1,141,NA,0.989247311827957,43.0703755409743,43.2150813623407,0.627906976744186,0.485436893203884,1,43.4438047254985,0.588183102608033
10,5,"ar1","ar1",0.2,0.8,0.1,186,NA,0.994623655913978,71.5606486442042,71.161694100215,0.488372093023256,0.310679611650485,1,71.7558965171732,0.840855105387039
10,5,"ar1","ar1",0.5,0.2,0.1,87,NA,1,24.60872282854,24.5801475991843,0.511627906976744,0.252427184466019,1,24.6255972916241,0.631106293844302
10,5,"ar1","ar1",0.5,0.5,0.1,168,NA,1,39.4469513114384,39.3349533361126,0.627906976744186,0.281553398058252,1,39.598619351717,0.624953529814467
10,5,"ar1","ar1",0.5,0.8,0.1,213,NA,1,21.691898390445,21.7299337512655,0.581395348837209,0.495145631067961,1,21.8496449883002,0.549089188667789
10,5,"ar1","ar1",0.8,0.2,0.1,114,NA,1,76.1484968573257,76.4980062615545,0.465116279069767,0.087378640776699,1,77.1089712877619,0.64641700085436
10,5,"ar1","ar1",0.8,0.5,0.1,177,NA,1,99.5116628761081,99.5931094189069,0.651162790697674,0.456310679611651,1,99.978357109874,0.506786117345629
10,5,"ar1","ar1",0.8,0.8,0.1,222,NA,1,124.163022599147,124.1011255233,0.697674418604651,0.543689320388349,1,125.005321227142,0.78412092745016
10,5,"ar1","random",0.2,NA,0.1,33,NA,1,103.166835953066,103.412737764943,0.604651162790698,0.242718446601942,1,104.161408467448,0.506339177459376
10,5,"ar1","random",0.5,NA,0.1,96,NA,0.935483870967742,81.9501365801234,81.4018143602259,0.674418604651163,0.533980582524272,1,82.2667562077674,0.586369437671215
10,5,"ar1","random",0.8,NA,0.1,123,NA,1,66.2395288336814,65.9888046599829,0.558139534883721,0.194174757281553,0.994623655913978,66.7144985811778,0.893308111501224
10,5,"ar1","randomwalk",0.2,NA,0.1,60,NA,0.989247311827957,15.0555745791953,15.0262252520628,0.581395348837209,0.252427184466019,0.994623655913978,15.0721398083769,1.00931252319656
10,5,"ar1","randomwalk",0.5,NA,0.1,105,NA,0.913978494623656,81.805021113939,82.2561562200884,0.674418604651163,0.436893203883495,1,82.7990399020534,0.648612512017427
10,5,"ar1","randomwalk",0.8,NA,0.1,132,NA,1,145.641076403613,145.647007695308,0.674418604651163,0.184466019417476,1,146.288141333217,0.630670193267143
10,5,"random","ar1",NA,0.2,0.1,15,NA,0.994623655913978,21.3561743565432,21.4126687406427,0.720930232558139,0.495145631067961,1,21.5815783759255,0.50895043754378
10,5,"random","ar1",NA,0.5,0.1,150,NA,1,89.467972615501,89.7846206680081,0.651162790697674,0.466019417475728,0.967741935483871,90.4464941349851,0.575940697538056
10,5,"random","ar1",NA,0.8,0.1,195,NA,1,136.447816626814,136.792797991179,0.627906976744186,0.242718446601942,1,137.006101462356,0.552759421984512
10,5,"random","random",NA,NA,0.1,42,NA,1,58.9004851469715,58.9172018919129,0.674418604651163,0.242718446601942,1,59.4558095007718,0.628114455026645
10,5,"random","randomwalk",NA,NA,0.1,69,NA,1,86.7607880633648,86.4531191269245,0.465116279069767,0.0388349514563107,1,87.3072436552211,0.685785351044962
10,5,"randomwalk","ar1",NA,0.2,0.1,24,NA,1,39.3981155423473,39.308600814382,0.534883720930233,0.087378640776699,1,39.3856740180499,0.668463246999682
10,5,"randomwalk","ar1",NA,0.5,0.1,159,NA,1,51.9501091494556,52.0402559120057,0.534883720930233,0.135922330097087,1,52.2389258341637,0.590858880470916
10,5,"randomwalk","ar1",NA,0.8,0.1,204,NA,1,32.3461129432242,32.2361980181148,0.604651162790698,0.436893203883495,1,32.3888259660381,0.771341242051408
10,5,"randomwalk","random",NA,NA,0.1,51,NA,0.994623655913978,150.485981920882,150.979234420771,0.697674418604651,0.446601941747573,1,151.699925034063,0.471036029428353
10,5,"randomwalk","randomwalk",NA,NA,0.1,78,NA,0.973118279569892,66.1049850188138,66.0411520680687,0.581395348837209,0.116504854368932,1,66.2519910233205,0.660841386017028
3,10,"ar1","ar1",0.2,0.2,0.1,7,NA,0.989247311827957,92.9712173541982,93.335447501511,0.488372093023256,0.233009708737864,0.983870967741935,93.8691037987775,0.646737952031784
3,10,"ar1","ar1",0.2,0.5,0.1,142,NA,1,79.0623104759785,78.8820428016116,0.604651162790698,0.271844660194175,0.994623655913978,79.4123370574851,0.748611824224755
3,10,"ar1","ar1",0.2,0.8,0.1,187,NA,1,25.0946495326569,25.1263739416969,0.651162790697674,0.427184466019418,1,25.3998285120027,0.832996057111762
3,10,"ar1","ar1",0.5,0.2,0.1,88,NA,0.935483870967742,44.2969430611967,44.1747634685883,0.558139534883721,0.466019417475728,1,44.3650045309352,0.730456704628412
3,10,"ar1","ar1",0.5,0.5,0.1,169,NA,0.876344086021505,60.9348799444215,60.9379644179597,0.651162790697674,0.446601941747573,1,61.3162247739839,0.765302561433051
3,10,"ar1","ar1",0.5,0.8,0.1,214,NA,1,40.4777456984233,40.6640900101312,0.581395348837209,0.407766990291262,1,41.0684600399347,0.798875207026209
3,10,"ar1","ar1",0.8,0.2,0.1,115,NA,1,82.0801863690028,82.242570298119,0.744186046511628,0.41747572815534,1,82.7901621622142,0.722219715622366
3,10,"ar1","ar1",0.8,0.5,0.1,178,NA,1,60.3249646742355,60.3575365931365,0.558139534883721,0.398058252427185,1,61.0201190080997,1.09271424593679
3,10,"ar1","ar1",0.8,0.8,0.1,223,NA,1,44.1548274946929,44.0526039273698,0.651162790697674,0.543689320388349,1,44.1701464377367,0.591210202483235
3,10,"ar1","random",0.2,NA,0.1,34,NA,0.994623655913978,76.1262275719243,76.4495524230384,0.395348837209302,0.0485436893203883,1,76.9801759467777,0.629612378094115
3,10,"ar1","random",0.5,NA,0.1,97,NA,1,4.96452058660714,4.9431984363256,0.511627906976744,0.145631067961165,1,5.00452835389263,0.719046724383886
3,10,"ar1","random",0.8,NA,0.1,124,NA,0.967741935483871,37.0109186734591,36.9270756901277,0.581395348837209,0.485436893203884,1,37.1088307974123,0.587484692633851
3,10,"ar1","randomwalk",0.2,NA,0.1,61,NA,1,13.469255473977,13.4331501951902,0.488372093023256,0.213592233009709,1,13.514925064355,1.0648103598464
3,10,"ar1","randomwalk",0.5,NA,0.1,106,NA,1,51.3831305072795,51.1832635938808,0.372093023255814,0.087378640776699,1,51.4075993980906,0.835473243352053
3,10,"ar1","randomwalk",0.8,NA,0.1,133,NA,1,7.28411171823041,7.29362753918559,0.627906976744186,0.427184466019418,1,7.37072790347889,0.800525080843808
3,10,"random","ar1",NA,0.2,0.1,16,NA,0.983870967741935,35.7411852504952,35.7770384192774,0.604651162790698,0.41747572815534,1,36.0479775311119,0.676129106706184
3,10,"random","ar1",NA,0.5,0.1,151,NA,0.994623655913978,66.5836373525522,66.6923166642038,0.511627906976744,0.427184466019418,1,67.6946769498003,0.777097725056073
3,10,"random","ar1",NA,0.8,0.1,196,NA,0.865591397849462,74.088968860128,73.842135650736,0.511627906976744,0.0776699029126213,1,74.349535132061,0.705681119024715
3,10,"random","random",NA,NA,0.1,43,NA,1,16.2320146041811,16.2315352017814,0.604651162790698,0.145631067961165,1,16.4329720315153,0.799955700770052
3,10,"random","randomwalk",NA,NA,0.1,70,NA,1,86.3224977664265,86.2260606256819,0.534883720930233,0.475728155339806,1,87.3612369924142,0.596136930046563
3,10,"randomwalk","ar1",NA,0.2,0.1,25,NA,1,61.621451627699,61.4329818937963,0.581395348837209,0.233009708737864,0.983870967741935,61.5917128636368,0.747356110801484
3,10,"randomwalk","ar1",NA,0.5,0.1,160,NA,1,6.84811755469037,6.83540414673663,0.558139534883721,0.203883495145631,1,6.85904303646544,0.601580598720763
3,10,"randomwalk","ar1",NA,0.8,0.1,205,NA,0.983870967741935,53.8798892495782,54.2343611009836,0.558139534883721,0.436893203883495,1,54.3607281640509,0.518755012307234
3,10,"randomwalk","random",NA,NA,0.1,52,NA,1,20.7552272190973,20.7837981537448,0.488372093023256,0.12621359223301,1,20.9284763744818,0.615855722369442
3,10,"randomwalk","randomwalk",NA,NA,0.1,79,NA,0.897849462365591,6.62045858692153,6.62325287324041,0.488372093023256,0.0970873786407767,1,6.65397411978419,0.608468517990397
3,3,"ar1","ar1",0.2,0.2,0.1,1,NA,1,94.8941383571123,94.9558970607371,1.02325581395349,0.757281553398058,1,95.8828476457666,0.66507594861907
3,3,"ar1","ar1",0.2,0.5,0.1,136,NA,1,86.6965925469467,87.0867770646052,0.488372093023256,0.213592233009709,1,87.9516839127375,0.913507994347443
3,3,"ar1","ar1",0.2,0.8,0.1,181,NA,1,60.3159576301143,60.34227925419,0.488372093023256,0.233009708737864,1,60.647958935873,0.70349755259829
3,3,"ar1","ar1",0.5,0.2,0.1,82,NA,0.989247311827957,76.4773622046879,76.2724278148553,0.674418604651163,0.514563106796116,1,76.6945320503333,0.607616436552597
3,3,"ar1","ar1",0.5,0.5,0.1,163,NA,1,124.081558385232,123.272255208941,0.604651162790698,0.466019417475728,1,123.6759547015,0.506010563308118
3,3,"ar1","ar1",0.5,0.8,0.1,208,NA,1,85.0876948551282,84.8224644847148,0.604651162790698,0.504854368932039,1,85.4148376878453,0.545987072703599
3,3,"ar1","ar1",0.8,0.2,0.1,109,NA,0.688172043010753,101.79393474633,101.789445081169,0.441860465116279,0.252427184466019,1,102.043761070945,0.622552367625044
3,3,"ar1","ar1",0.8,0.5,0.1,172,NA,1,46.7328399344748,46.7695919611474,0.511627906976744,0.495145631067961,1,47.0444987229336,0.643697582919291
3,3,"ar1","ar1",0.8,0.8,0.1,217,NA,0.897849462365591,76.0496354687839,76.0107205603486,0.488372093023256,0.194174757281553,0.973118279569892,76.2399843828251,0.626599642562557
3,3,"ar1","random",0.2,NA,0.1,28,NA,1,60.8950833035469,60.9301887214043,0.604651162790698,0.485436893203884,1,61.906513548566,0.602202509614307
3,3,"ar1","random",0.5,NA,0.1,91,NA,1,32.2643133220829,32.3345450630779,0.534883720930233,0.533980582524272,1,32.7140480515187,0.643028651293726
