"p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","nsim","ol","rrmse","srmse","p.catch","c.catch"
10,5,"ar1","randomwalk",0.2,NA,0.1,NA,0.989247311827957,15.0555745791953,15.0262252520628,0.581395348837209,0.252427184466019
3,10,"ar1","randomwalk",0.2,NA,0.1,NA,1,13.469255473977,13.4331501951902,0.488372093023256,0.213592233009709
5,10,"ar1","randomwalk",0.2,NA,0.1,NA,0.876344086021505,69.7381629567977,69.5994423229511,0.720930232558139,0.466019417475728
10,10,"ar1","randomwalk",0.2,NA,0.1,NA,1,5.35980931962181,5.34655881868398,0.581395348837209,0.223300970873786
3,3,"random","randomwalk",NA,NA,0.1,NA,1,1.45197863799966,1.44404833650096,0.581395348837209,0.466019417475728
3,3,"randomwalk","ar1",NA,0.5,0.1,NA,1,1.1264706780691,1.12190412727494,0.534883720930233,0.310679611650485
5,3,"random","randomwalk",NA,NA,0.1,NA,0.908602150537634,91.1835505331717,90.8575363424953,0.627906976744186,0.533980582524272
5,3,"randomwalk","ar1",NA,0.5,0.1,NA,0.908602150537634,32.2455942524999,32.3881983416649,0.581395348837209,0.446601941747573
10,3,"random","randomwalk",NA,NA,0.1,NA,1,29.7938184208493,29.8755893787529,0.441860465116279,0.0485436893203883
10,3,"randomwalk","ar1",NA,0.5,0.1,NA,0.994623655913978,18.353344306542,18.4351945876955,0.604651162790698,0.543689320388349
3,5,"random","randomwalk",NA,NA,0.1,NA,1,47.7685172924382,47.7208353182137,0.511627906976744,0.543689320388349
3,5,"randomwalk","ar1",NA,0.5,0.1,NA,0.795698924731183,19.786321562754,19.8229727385275,0.627906976744186,0.514563106796116
5,5,"randomwalk","ar1",NA,0.5,0.1,NA,0.989247311827957,74.6245595107246,74.4696291365649,0.651162790697674,0.504854368932039
5,5,"random","randomwalk",NA,NA,0.1,NA,1,104.659268319329,104.421893382551,0.558139534883721,0.213592233009709
10,5,"randomwalk","ar1",NA,0.5,0.1,NA,1,51.9501091494556,52.0402559120057,0.534883720930233,0.135922330097087
10,5,"random","randomwalk",NA,NA,0.1,NA,1,86.7607880633648,86.4531191269245,0.465116279069767,0.0388349514563107
3,10,"randomwalk","ar1",NA,0.5,0.1,NA,1,6.84811755469037,6.83540414673663,0.558139534883721,0.203883495145631
3,10,"random","randomwalk",NA,NA,0.1,NA,1,86.3224977664265,86.2260606256819,0.534883720930233,0.475728155339806
5,10,"random","randomwalk",NA,NA,0.1,NA,1,85.546520505322,85.4391945551199,0.790697674418605,0.466019417475728
5,10,"randomwalk","ar1",NA,0.5,0.1,NA,0.854838709677419,86.7882586386953,87.1375244418636,0.651162790697674,0.514563106796116
10,10,"randomwalk","ar1",NA,0.5,0.1,NA,0.60752688172043,6.20362616310072,6.19722783519217,0.558139534883721,0.281553398058252
10,10,"random","randomwalk",NA,NA,0.1,NA,0.935483870967742,69.337461745626,69.2596825173295,0.674418604651163,0.456310679611651
3,3,"ar1","ar1",0.5,0.5,0.1,NA,1,124.081558385232,123.272255208941,0.604651162790698,0.466019417475728
3,3,"randomwalk","randomwalk",NA,NA,0.1,NA,1,35.4329590489411,35.210099963027,0.604651162790698,0.466019417475728
5,3,"ar1","ar1",0.5,0.5,0.1,NA,1,91.3408570415042,90.7968642211602,0.418604651162791,0.194174757281553
5,3,"randomwalk","randomwalk",NA,NA,0.1,NA,0.93010752688172,37.0262642596718,36.8811235623272,0.395348837209302,0.12621359223301
10,3,"ar1","ar1",0.5,0.5,0.1,NA,1,39.947295917862,39.7695349782673,0.488372093023256,0.184466019417476
3,5,"ar1","ar1",0.5,0.5,0.1,NA,1,95.5959981492463,95.3498881777765,0.581395348837209,0.446601941747573
5,5,"ar1","ar1",0.5,0.5,0.1,NA,1,104.872653716943,104.558032936191,0.558139534883721,0.058252427184466
10,5,"ar1","ar1",0.5,0.5,0.1,NA,1,39.4469513114384,39.3349533361126,0.627906976744186,0.281553398058252
3,10,"ar1","ar1",0.5,0.5,0.1,NA,0.876344086021505,60.9348799444215,60.9379644179597,0.651162790697674,0.446601941747573
5,10,"ar1","ar1",0.5,0.5,0.1,NA,1,33.1362334073425,33.1258963042966,0.627906976744186,0.475728155339806
10,10,"ar1","ar1",0.5,0.5,0.1,NA,1,31.9089806391891,31.9554400652401,0.697674418604651,0.533980582524272
3,3,"ar1","ar1",0.8,0.5,0.1,NA,1,46.7328399344748,46.7695919611474,0.511627906976744,0.495145631067961
5,3,"ar1","ar1",0.8,0.5,0.1,NA,1,44.1309259331358,44.2435190053939,0.604651162790698,0.475728155339806
10,3,"ar1","ar1",0.8,0.5,0.1,NA,1,41.8861023157826,41.8033898673012,0.627906976744186,0.310679611650485
3,5,"ar1","ar1",0.8,0.5,0.1,NA,1,10.6411720240298,10.6534388249549,0.441860465116279,0.0679611650485437
5,5,"ar1","ar1",0.8,0.5,0.1,NA,0.994623655913978,65.1163454516752,65.1088932831374,0.720930232558139,0.398058252427185
10,5,"ar1","ar1",0.8,0.5,0.1,NA,1,99.5116628761081,99.5931094189069,0.651162790697674,0.456310679611651
3,10,"ar1","ar1",0.8,0.5,0.1,NA,1,60.3249646742355,60.3575365931365,0.558139534883721,0.398058252427185
5,10,"ar1","ar1",0.8,0.5,0.1,NA,1,6.96642302609114,6.98330877260166,0.627906976744186,0.495145631067961
10,10,"ar1","ar1",0.8,0.5,0.1,NA,1,82.064274111034,82.0335079741211,0.534883720930233,0.116504854368932
3,3,"ar1","ar1",0.2,0.8,0.1,NA,1,60.3159576301143,60.34227925419,0.488372093023256,0.233009708737864
5,3,"ar1","ar1",0.2,0.8,0.1,NA,1,105.829342071108,105.60265470441,0.720930232558139,0.466019417475728
10,3,"ar1","ar1",0.2,0.8,0.1,NA,1,106.971753972462,106.769063688877,0.488372093023256,0.281553398058252
3,5,"ar1","ar1",0.2,0.8,0.1,NA,1,90.2505008072345,90.3789222962138,0.534883720930233,0.223300970873786
5,5,"ar1","ar1",0.2,0.8,0.1,NA,1,7.95817366199764,7.98753863510006,0.720930232558139,0.427184466019418
10,5,"ar1","ar1",0.2,0.8,0.1,NA,0.994623655913978,71.5606486442042,71.161694100215,0.488372093023256,0.310679611650485
3,10,"ar1","ar1",0.2,0.8,0.1,NA,1,25.0946495326569,25.1263739416969,0.651162790697674,0.427184466019418
5,10,"ar1","ar1",0.2,0.8,0.1,NA,1,95.2926408114948,95.1870801377448,0.651162790697674,0.475728155339806
10,10,"ar1","ar1",0.2,0.8,0.1,NA,1,79.8502594889945,80.0250027665224,0.511627906976744,0.12621359223301
3,3,"random","ar1",NA,0.8,0.1,NA,1,54.7095390832541,54.930444355366,0.511627906976744,0.475728155339806
5,3,"random","ar1",NA,0.8,0.1,NA,0.881720430107527,11.8392088335135,11.8512924974864,0.651162790697674,0.543689320388349
10,3,"random","ar1",NA,0.8,0.1,NA,0.994623655913978,108.994182339616,108.240681161126,0.674418604651163,0.281553398058252
3,5,"random","ar1",NA,0.8,0.1,NA,1,30.4255304108944,30.4312295599184,0.534883720930233,0.427184466019418
5,5,"random","ar1",NA,0.8,0.1,NA,1,99.604774073934,99.4300924969119,0.488372093023256,0.252427184466019
10,5,"random","ar1",NA,0.8,0.1,NA,1,136.447816626814,136.792797991179,0.627906976744186,0.242718446601942
3,10,"random","ar1",NA,0.8,0.1,NA,0.865591397849462,74.088968860128,73.842135650736,0.511627906976744,0.0776699029126213
5,10,"random","ar1",NA,0.8,0.1,NA,1,47.0393978027557,47.1456987616979,0.767441860465116,0.495145631067961
10,10,"random","ar1",NA,0.8,0.1,NA,0.93010752688172,54.9423676334864,54.9652670404212,0.534883720930233,0.213592233009709
3,3,"randomwalk","ar1",NA,0.8,0.1,NA,1,69.1634247365751,69.0412412001729,0.511627906976744,0.563106796116505
5,3,"randomwalk","ar1",NA,0.8,0.1,NA,1,103.802444692059,103.567012611864,0.604651162790698,0.271844660194175
10,3,"randomwalk","ar1",NA,0.8,0.1,NA,1,24.5076403492285,24.3943309762764,0.651162790697674,0.485436893203884
10,3,"randomwalk","randomwalk",NA,NA,0.1,NA,0.994623655913978,30.0120615226515,29.8857035598332,0.534883720930233,0.252427184466019
3,5,"randomwalk","ar1",NA,0.8,0.1,NA,1,39.1040643837483,39.0517963568996,0.534883720930233,0.242718446601942
3,5,"randomwalk","randomwalk",NA,NA,0.1,NA,1,78.2814318843972,78.1744529551358,0.418604651162791,0.223300970873786
5,5,"randomwalk","ar1",NA,0.8,0.1,NA,1,109.707207463187,110.087033073661,0.697674418604651,0.514563106796116
5,5,"randomwalk","randomwalk",NA,NA,0.1,NA,0.978494623655914,21.2976999709615,21.1969707136312,0.581395348837209,0.29126213592233
10,5,"randomwalk","ar1",NA,0.8,0.1,NA,1,32.3461129432242,32.2361980181148,0.604651162790698,0.436893203883495
10,5,"randomwalk","randomwalk",NA,NA,0.1,NA,0.973118279569892,66.1049850188138,66.0411520680687,0.581395348837209,0.116504854368932
3,10,"randomwalk","ar1",NA,0.8,0.1,NA,0.983870967741935,53.8798892495782,54.2343611009836,0.558139534883721,0.436893203883495
3,10,"randomwalk","randomwalk",NA,NA,0.1,NA,0.897849462365591,6.62045858692153,6.62325287324041,0.488372093023256,0.0970873786407767
5,10,"randomwalk","ar1",NA,0.8,0.1,NA,1,2.44522766057784,2.44457322259109,0.534883720930233,0.0970873786407767
5,10,"randomwalk","randomwalk",NA,NA,0.1,NA,0.887096774193548,64.25340138122,64.3062639657284,0.720930232558139,0.456310679611651
10,10,"randomwalk","ar1",NA,0.8,0.1,NA,0.903225806451613,114.266687778325,114.553234501662,0.581395348837209,0.514563106796116
10,10,"randomwalk","randomwalk",NA,NA,0.1,NA,0.946236559139785,75.2700907962254,75.2316311621353,0.604651162790698,0.213592233009709
3,3,"ar1","ar1",0.5,0.8,0.1,NA,1,85.0876948551282,84.8224644847148,0.604651162790698,0.504854368932039
3,3,"ar1","ar1",0.5,0.2,0.1,NA,0.989247311827957,76.4773622046879,76.2724278148553,0.674418604651163,0.514563106796116
5,3,"ar1","ar1",0.5,0.8,0.1,NA,1,36.1644023798083,36.3857757329177,0.651162790697674,0.592233009708738
5,3,"ar1","ar1",0.5,0.2,0.1,NA,1,58.7644297218175,59.0401098139441,0.558139534883721,0.233009708737864
10,3,"ar1","ar1",0.5,0.8,0.1,NA,0.919354838709677,94.1790189709269,94.2495698172861,0.674418604651163,0.29126213592233
10,3,"ar1","ar1",0.5,0.2,0.1,NA,1,52.0182550256594,51.8844669878379,0.720930232558139,0.514563106796116
3,5,"ar1","ar1",0.5,0.8,0.1,NA,0.946236559139785,75.3912575229292,75.5101422265104,0.511627906976744,0.456310679611651
3,5,"ar1","ar1",0.5,0.2,0.1,NA,0.451612903225806,56.4264630364042,56.5738609701252,0.627906976744186,0.553398058252427
5,5,"ar1","ar1",0.5,0.2,0.1,NA,0.672043010752688,130.661250228168,130.971952871471,0.651162790697674,0.495145631067961
5,5,"ar1","ar1",0.5,0.8,0.1,NA,0.672043010752688,99.143924590192,99.2993443321351,0.720930232558139,0.504854368932039
10,5,"ar1","ar1",0.5,0.2,0.1,NA,1,24.60872282854,24.5801475991843,0.511627906976744,0.252427184466019
10,5,"ar1","ar1",0.5,0.8,0.1,NA,1,21.691898390445,21.7299337512655,0.581395348837209,0.495145631067961
3,10,"ar1","ar1",0.5,0.8,0.1,NA,1,40.4777456984233,40.6640900101312,0.581395348837209,0.407766990291262
3,10,"ar1","ar1",0.5,0.2,0.1,NA,0.935483870967742,44.2969430611967,44.1747634685883,0.558139534883721,0.466019417475728
5,10,"ar1","ar1",0.5,0.8,0.1,NA,1,12.8161537059294,12.9270405300857,0.674418604651163,0.485436893203884
5,10,"ar1","ar1",0.5,0.2,0.1,NA,1,78.5205607807576,79.0187464157562,0.651162790697674,0.466019417475728
10,10,"ar1","ar1",0.5,0.8,0.1,NA,1,62.3909304008851,62.6685815549274,0.674418604651163,0.456310679611651
10,10,"ar1","ar1",0.5,0.2,0.1,NA,1,101.325871594893,101.456972480043,0.534883720930233,0.252427184466019
3,3,"ar1","random",0.5,NA,0.1,NA,1,32.2643133220829,32.3345450630779,0.534883720930233,0.533980582524272
3,3,"ar1","ar1",0.8,0.8,0.1,NA,0.897849462365591,76.0496354687839,76.0107205603486,0.488372093023256,0.194174757281553
5,3,"ar1","random",0.5,NA,0.1,NA,1,70.9467888241815,70.9272830378086,0.627906976744186,0.466019417475728
5,3,"ar1","ar1",0.8,0.8,0.1,NA,1,82.6775574416438,82.4104364211151,0.581395348837209,0.184466019417476
10,3,"ar1","random",0.5,NA,0.1,NA,1,92.132913277723,92.2593433435092,0.627906976744186,0.543689320388349
10,3,"ar1","ar1",0.8,0.8,0.1,NA,0.801075268817204,68.1899807388939,67.9210460482684,0.534883720930233,0.29126213592233
3,5,"ar1","ar1",0.8,0.8,0.1,NA,1,34.9062924458149,34.8771233162208,0.674418604651163,0.456310679611651
3,5,"ar1","random",0.5,NA,0.1,NA,1,8.6593132737573,8.62946882634446,0.627906976744186,0.456310679611651
5,5,"ar1","random",0.5,NA,0.1,NA,0.994623655913978,36.2953657457975,36.3671083094989,0.767441860465116,0.514563106796116
5,5,"ar1","ar1",0.8,0.8,0.1,NA,1,47.5739636837049,47.676747895828,0.627906976744186,0.466019417475728
10,5,"ar1","random",0.5,NA,0.1,NA,0.935483870967742,81.9501365801234,81.4018143602259,0.674418604651163,0.533980582524272
10,5,"ar1","ar1",0.8,0.8,0.1,NA,1,124.163022599147,124.1011255233,0.697674418604651,0.543689320388349
3,10,"ar1","ar1",0.8,0.8,0.1,NA,1,44.1548274946929,44.0526039273698,0.651162790697674,0.543689320388349
3,10,"ar1","random",0.5,NA,0.1,NA,1,4.96452058660714,4.9431984363256,0.511627906976744,0.145631067961165
5,10,"ar1","ar1",0.8,0.8,0.1,NA,1,90.9969499907709,90.9729940731309,0.674418604651163,0.233009708737864
5,10,"ar1","random",0.5,NA,0.1,NA,0.989247311827957,68.9832829225478,68.8988731072005,0.697674418604651,0.504854368932039
10,10,"ar1","ar1",0.8,0.8,0.1,NA,0.838709677419355,7.16498855711816,7.16938406298919,0.511627906976744,0.271844660194175
10,10,"ar1","random",0.5,NA,0.1,NA,1,52.5089536004054,52.4863388853832,0.813953488372093,0.466019417475728
3,3,"ar1","randomwalk",0.5,NA,0.1,NA,1,8.51352892758073,8.51524727487624,0.651162790697674,0.495145631067961
3,10,"ar1","ar1",0.2,0.5,0.1,NA,1,79.0623104759785,78.8820428016116,0.604651162790698,0.271844660194175
